soilType,plantID,treatment,Date_yyyymmdd,time,WP_MPa,wpClean
B,104,drought,20180517,predawn,-0.278,-0.278
C,175,drought,20180517,predawn,-0.327,-0.327
C,171,drought,20180517,predawn,-0.575,-0.575
C,193,drought,20180517,predawn,-0.382,-0.382
B,125,drought,20180517,predawn,-1.1,NA
B,136,drought,20180517,predawn,-0.387,-0.387
B,139,drought,20180517,predawn,-0.89,NA
A,43,drought,20180517,predawn,-0.42,-0.42
C,179,drought,20180517,predawn,-0.661,-0.661
A,17,drought,20180517,predawn,-0.47,-0.47
A,34,drought,20180517,predawn,-0.583,-0.583
C,199,drought,20180517,predawn,-0.343,-0.343
A,39,drought,20180517,predawn,-0.59,-0.59
B,113,drought,20180517,predawn,-0.392,-0.392
A,50,drought,20180517,predawn,-0.441,-0.441
A,93,bag,20180517,predawn,-0.48,-0.48
A,71,bag,20180517,predawn,-0.348,-0.348
A,90,bag,20180517,predawn,-0.439,-0.439
A,85,bag,20180517,predawn,-0.355,-0.355
A,75,bag,20180517,predawn,-0.9,NA
A,50,drought,20180517,midday,-1.86,-1.86
B,113,drought,20180517,midday,-0.1,NA
A,39,drought,20180517,midday,-0.8,-0.8
C,199,drought,20180517,midday,-1.44,-1.44
A,34,drought,20180517,midday,-1.95,-1.95
C,179,drought,20180517,midday,-1.41,-1.41
A,43,drought,20180517,midday,-1.19,-1.19
A,17,drought,20180517,midday,-1.66,-1.66
B,139,drought,20180517,midday,-0.8,-0.8
B,104,drought,20180517,midday,-0.981,-0.981
C,175,drought,20180517,midday,-1.41,-1.41
C,171,drought,20180517,midday,-1.52,-1.52
C,193,drought,20180517,midday,-1.35,-1.35
B,125,drought,20180517,midday,-1.67,-1.67
B,136,drought,20180517,midday,-1.39,-1.39
A,93,bag,20180517,midday,-1.29,-1.29
A,71,bag,20180517,midday,-1.07,-1.07
A,90,bag,20180517,midday,-0.56,-0.56
A,85,bag,20180517,midday,-1.67,-1.67
A,75,bag,20180517,midday,-1.62,-1.62
A,22,drought,20180522,predawn,-0.278,-0.278
A,19,drought,20180522,predawn,-0.394,-0.394
A,42,drought,20180522,predawn,-0.222,-0.222
A,13,drought,20180522,predawn,-0.444,-0.444
A,37,drought,20180522,predawn,-0.352,-0.352
B,146,drought,20180522,predawn,-0.455,-0.455
B,160,drought,20180522,predawn,-0.514,-0.514
B,117,drought,20180522,predawn,-0.322,-0.322
B,118,drought,20180522,predawn,-0.639,-0.639
B,148,drought,20180522,predawn,-0.498,-0.498
C,176,drought,20180522,predawn,-0.685,-0.685
C,211,drought,20180522,predawn,-0.366,-0.366
C,209,drought,20180522,predawn,-0.663,-0.663
C,165,drought,20180522,predawn,-0.512,-0.512
C,170,drought,20180522,predawn,-0.381,-0.381
C,163,drought,20180522,predawn,-0.295,-0.295
A,83,bag,20180522,predawn,-0.407,-0.407
A,54,bag,20180522,predawn,-0.364,-0.364
A,82,bag,20180522,predawn,-0.416,-0.416
A,92,bag,20180522,predawn,-0.338,-0.338
A,84,control,20180522,predawn,-1.467,-1.467
A,95,control,20180522,predawn,-0.217,-0.217
A,48,control,20180522,predawn,-0.347,-0.347
A,24,control,20180522,predawn,-0.739,-0.739
B,121,control,20180522,predawn,-0.491,-0.491
B,156,control,20180522,predawn,-0.563,-0.563
B,151,control,20180522,predawn,-0.375,-0.375
C,214,control,20180522,predawn,-0.518,-0.518
C,181,control,20180522,predawn,-0.509,-0.509
C,190,control,20180522,predawn,-0.403,-0.403
A,22,drought,20180524,predawn,-0.583,-0.583
A,19,drought,20180524,predawn,-0.538,-0.538
A,42,drought,20180524,predawn,-0.486,-0.486
A,13,drought,20180524,predawn,-0.624,-0.624
A,37,drought,20180524,predawn,-0.421,-0.421
B,146,drought,20180524,predawn,-0.633,-0.633
B,160,drought,20180524,predawn,-0.854,-0.854
B,117,drought,20180524,predawn,-1.09,-1.09
B,118,drought,20180524,predawn,-1.136,-1.136
B,148,drought,20180524,predawn,-0.52,-0.52
C,176,drought,20180524,predawn,-0.802,-0.802
C,209,drought,20180524,predawn,-0.836,-0.836
C,165,drought,20180524,predawn,-0.466,-0.466
C,170,drought,20180524,predawn,-0.339,-0.339
C,163,drought,20180524,predawn,-0.912,-0.912
A,87,bag,20180524,predawn,-0.631,-0.631
A,74,bag,20180524,predawn,-0.186,-0.186
A,82,bag,20180524,predawn,-0.722,-0.722
A,84,bag,20180524,predawn,-1.206,-1.206
A,94,bag,20180524,predawn,-0.847,-0.847
A,95,control,20180524,predawn,-0.58,-0.58
A,48,control,20180524,predawn,-0.606,-0.606
A,24,control,20180524,predawn,-0.779,-0.779
B,121,control,20180524,predawn,-0.453,-0.453
B,156,control,20180524,predawn,-0.534,-0.534
B,151,control,20180524,predawn,-0.439,-0.439
C,214,control,20180524,predawn,-0.508,-0.508
C,181,control,20180524,predawn,-0.59,-0.59
C,190,control,20180524,predawn,-0.427,-0.427
A,22,drought,20180524,midday,-1.647,-1.647
A,19,drought,20180524,midday,-1.925,-1.925
A,42,drought,20180524,midday,-1.604,-1.604
A,13,drought,20180524,midday,-1.67,-1.67
A,37,drought,20180524,midday,-1.324,-1.324
B,146,drought,20180524,midday,-2.236,-2.236
B,160,drought,20180524,midday,-1.822,-1.822
B,117,drought,20180524,midday,-2.052,-2.052
B,118,drought,20180524,midday,-1.836,-1.836
B,148,drought,20180524,midday,-1.659,-1.659
C,176,drought,20180524,midday,-1.678,-1.678
C,209,drought,20180524,midday,-2.043,-2.043
C,165,drought,20180524,midday,-1.761,-1.761
C,170,drought,20180524,midday,-1.95,-1.95
C,163,drought,20180524,midday,-1.507,-1.507
A,87,bag,20180524,midday,-1.792,-1.792
A,74,bag,20180524,midday,-1.6,-1.6
A,82,bag,20180524,midday,-1.548,-1.548
A,84,bag,20180524,midday,-2.205,-2.205
A,94,bag,20180524,midday,-1.886,-1.886
A,95,control,20180524,midday,-1.808,-1.808
A,48,control,20180524,midday,-1.58,-1.58
A,24,control,20180524,midday,-2.066,-2.066
B,121,control,20180524,midday,-1.666,-1.666
B,156,control,20180524,midday,-1.773,-1.773
B,151,control,20180524,midday,-2.131,-2.131
C,214,control,20180524,midday,-1.664,-1.664
C,181,control,20180524,midday,-2.621,-2.621
C,190,control,20180524,midday,-2.418,-2.418
A,27,drought,20180528,predawn,-0.702,-0.702
A,16,drought,20180528,predawn,-0.424,-0.424
A,10,drought,20180528,predawn,-0.609,-0.609
A,23,drought,20180528,predawn,-0.834,-0.834
A,36,drought,20180528,predawn,-0.5,-0.5
B,158,drought,20180528,predawn,-0.283,-0.283
B,153,drought,20180528,predawn,-0.426,-0.426
B,106,drought,20180528,predawn,-0.64,-0.64
B,103,drought,20180528,predawn,-0.405,-0.405
B,134,drought,20180528,predawn,-0.463,-0.463
C,183,drought,20180528,predawn,-0.484,-0.484
C,186,drought,20180528,predawn,-0.311,-0.311
C,210,drought,20180528,predawn,-0.529,-0.529
C,213,drought,20180528,predawn,-0.48,-0.48
