Code.original,Treat,Type,Code,Plant,Soil,Date,GWC
DRY_A71_BAG_SOIL_0517,BAG,Soil,A71,71,A,180517,0.203940465
DRY_A75SOIL_BAG_0517,BAG,Soil,A75,75,A,180517,0.201574803
DRY_A85_BAG_SOIL_0517,BAG,Soil,A85,85,A,180517,0.226730164
A90_BAG_SOIL_0517,BAG,Soil,A90,90,A,180517,0.242180251
DRY_A93_BAG_SOIL_0517,BAG,Soil,A93,93,A,180517,0.22618941
DRY_A17_SOIL_0517,DRY,Soil,A17,17,A,180517,0.188898353
DRY_A34SOIL_0517,DRY,Soil,A34,34,A,180517,0.218040279
DRY_A39SOIL_0517,DRY,Soil,A39,39,A,180517,0.229493892
DRY_A43SOIL_0517,DRY,Soil,A43,43,A,180517,0.233056291
DRY_A50SOIL_0517,DRY,Soil,A50,50,A,180517,0.243704897
DRY_B104_ROCK_0517,DRY,Rock,B104,104,B,180517,0.060318825
DRY_B104_SOIL_0517,DRY,Soil,B104,104,B,180517,0.501496955
DRY_B125_ROCK_0517,DRY,Rock,B125,125,B,180517,0.096306847
DRY_B125_SOIL_0517,DRY,Soil,B125,125,B,180517,0.224145576
DRY_B133_ROCK_0517,DRY,Rock,B133,133,B,180517,0.040968402
DRY_B133SOIL_0517,DRY,Soil,B133,133,B,180517,0.21293276
DRY_B136ROCK_0517,DRY,Rock,B136,136,B,180517,0.055850947
DRY_B136_SOIL_0517,DRY,Soil,B136,136,B,180517,0.181225736
DRY_B139_ROCK_0517,DRY,Rock,B139,139,B,180517,0.093663157
DRY_B139_SOIL_0517,DRY,Soil,B139,139,B,180517,0.222976203
DRY_C171_SOIL_0517,DRY,Soil,C171,171,C,180517,0.274176712
DRY_C175_SOIL_0517,DRY,Soil,C175,175,C,180517,0.265807875
DRY_C179SOIL_0517,DRY,Soil,C179,179,C,180517,0.261420217
DRY_C193_SOIL_0517,DRY,Soil,C193,193,C,180517,0.249167622
DRY_C199_SOIL_0517,DRY,Soil,C199,199,C,180517,0.270551978
BAG_A17?_0524,BAG,Soil,A17,17,A,180524,0.113490289
BAG_A74_0524,BAG,Soil,A74,74,A,180524,0.142111951
BAG_A82_0524,BAG,Soil,A82,82,A,180524,0.098385714
BAG_A84_0524,BAG,Soil,A84,84,A,180524,0.125221902
BAG_A94_0524,BAG,Soil,A94,94,A,180524,0.201940671
CONTROL_A24_0524,CONTROL,Soil,A24,24,A,180524,0.235693362
CONTROL_A48_0524,CONTROL,Soil,A48,48,A,180524,0.283528383
CONTROL_A90_0524,CONTROL,Soil,A90,90,A,180524,0.268184519
