Treat,Soil,Plant,Type,Date,stemwater
DRY,A,17,Root,180517,0.624106393
DRY,A,17,Stem,180517,0.514292658
DRY,A,34,Root,180517,0.635591966
DRY,A,34,Stem,180517,0.862772476
DRY,A,39,Root,180517,0.670113821
DRY,A,39,Stem,180517,0.54053552
DRY,A,43,Root,180517,0.612048108
DRY,A,43,Stem,180517,0.398014303
DRY,A,50,Root,180517,0.586106745
DRY,A,50,Stem,180517,0.533722254
BAG,A,71,Root,180517,0.600932129
BAG,A,71,Stem,180517,0.50706645
BAG,A,75,Root,180517,0.638106096
BAG,A,75,Stem,180517,0.546180196
BAG,A,85,Stem,180517,0.495245283
BAG,A,85,Root,180517,0.61711513
BAG,A,90,Root,180517,0.617498695
BAG,A,90,Stem,180517,0.506758085
BAG,A,93,Root,180517,0.669686437
BAG,A,93,Stem,180517,0.556600642
DRY,B,104,Root,180517,0.571562742
DRY,B,104,Stem,180517,0.492708191
DRY,B,125,Root,180517,0.6067772
DRY,B,125,Stem,180517,0.471416736
DRY,B,133,Root,180517,0.549121376
DRY,B,133,Stem,180517,0.54811088
BAG,B,136,Root,180517,0.588045044
DRY,B,136,Stem,180517,0.48692086
DRY,B,139,Root,180517,0.585695038
DRY,C,139,Stem,180517,0.514256535
DRY,C,171,Root,180517,0.636169864
DRY,C,171,Stem,180517,0.554903604
DRY,C,175,Root,180517,0.544189201
DRY,C,175,Stem,180517,0.483602186
DRY,C,179,Root,180517,0.676328631
DRY,C,179,Stem,180517,0.519065613
DRY,C,193,Root,180517,0.614136532
DRY,C,193,Stem,180517,0.499372312
DRY,C,199,Root,180517,0.626452131
DRY,C,199,Stem,180517,0.530233688
DRY,A,13,Root,180524,0.631789709
DRY,A,13,Stem,180524,0.4246538
DRY,A,19,Root,180524,0.573419859
DRY,A,19,Stem,180524,0.55929737
CONTROL,A,21,Stem,180524,0.441758763
DRY,A,22,Root,180524,0.521270389
DRY,A,22,Stem,180524,0.481681846
CONTROL,A,24,Root,180524,0.591251353
DRY,A,37,Root,180524,0.627224649
DRY,A,37,Stem,180524,0.499804458
DRY,A,42,Root,180524,0.571692139
CONTROL,A,48,Root,180524,0.737113528
CONTROL,A,48,Stem,180524,0.485878941
DRY,A,49,Stem,180524,0.463819746
DRY,A,74,Root,180524,0.585377756
BAG,A,74,Stem,180524,0.490461008
BAG,A,82,Root,180524,0.592868261
BAG,A,82,Stem,180524,0.499236029
BAG,A,84,Root,180524,0.67914183
BAG,A,84,Stem,180524,0.531130949
BAG,A,87,Root,180524,0.532815031
BAG,A,87,Stem,180524,0.462550882
BAG,A,94,Root,180524,0.615799184
BAG,A,94,Stem,180524,0.560732746
CONTROL,A,95,Root,180524,0.575835955
CONTROL,A,95,Stem,180524,0.4580725
DRY,B,117,Root,180524,0.583130196
DRY,B,117,Stem,180524,0.470898057
DRY,B,118,Root,180524,0.602343119
DRY,B,118,Stem,180524,0.478266455
CONTROL,B,121,Root,180524,0.558964678
CONTROL,B,121,Stem,180524,0.501502241
DRY,B,146,Root,180524,0.583955928
DRY,B,146,Stem,180524,0.521169061
DRY,B,148,Root,180524,0.632583333
DRY,B,148,Stem,180524,0.483557423
CONTROL,B,151,Stem,180524,0.519730792
