"Plant","Soil","Treat","Date","weight_g","dryWeight","plant_weight","pot_plus_plate_weight","bulkDen","totalLeafArea_cm2","GWC","VWC","nday"
2,"A","DRY",2018-06-20,3029.1,2791.5,19.8,79,1.23192171954117,311.963077,4.97223714848647,6.12540693792992,36
2,"A","DRY",2018-05-22,3658.8,2791.5,19.8,79,1.23192171954117,311.963077,27.5300017911517,33.914807145527,7
2,"A","DRY",2018-05-18,3819.9,2791.5,19.8,79,1.23192171954117,311.963077,33.3010926025434,41.024339261525,3
2,"A","DRY",2018-05-31,3399.6,2791.5,19.8,79,1.23192171954117,311.963077,18.2446713236611,22.476006869508,16
2,"A","DRY",2018-05-16,3881.5,2791.5,19.8,79,1.23192171954117,311.963077,35.5077915099409,43.7428195740356,1
2,"A","DRY",2018-05-24,3598.4,2791.5,19.8,79,1.23192171954117,311.963077,25.3662905248074,31.2492842417016,9
2,"A","DRY",2018-06-07,3181.2,2791.5,19.8,79,1.23192171954117,311.963077,10.4209206519792,12.8377584887883,23
2,"A","DRY",2018-06-13,3084.2,2791.5,19.8,79,1.23192171954117,311.963077,6.94608633351244,8.55703462006204,29
7,"A","CONTROL",2018-05-16,3783.6,2652.42889262129,98.9,118,1.24652678261436,NA,34.4692032997412,42.9667850885066,1
7,"A","CONTROL",2018-06-20,3690.4,2652.42889262129,98.9,118,1.24652678261436,NA,30.9554427514653,38.586788457387,36
7,"A","CONTROL",2018-05-18,3733.7,2652.42889262129,98.9,118,1.24652678261436,NA,32.587908757263,40.6217010553213,3
7,"A","CONTROL",2018-05-22,3861.1,2652.42889262129,98.9,118,1.24652678261436,NA,37.3910535410651,46.6089496691051,7
7,"A","CONTROL",2018-05-24,3778,2652.42889262129,98.9,118,1.24652678261436,NA,34.2580760564972,42.7036093252634,9
7,"A","CONTROL",2018-06-07,3818.8,2652.42889262129,98.9,118,1.24652678261436,NA,35.7962888287038,44.6210327431785,23
7,"A","CONTROL",2018-06-13,3806,2652.42889262129,98.9,118,1.24652678261436,NA,35.3137122727174,44.0194881414796,29
7,"A","CONTROL",2018-05-31,3822.4,2652.42889262129,98.9,118,1.24652678261436,NA,35.932013485075,44.7902171624063,16
11,"A","DRY",2018-05-22,3654.2,2903.5,32.5,79.8,1.31903535885274,350.125939,21.9872567590839,29.0019691094055,7
11,"A","DRY",2018-05-18,3935.5,2903.5,32.5,79.8,1.31903535885274,350.125939,31.6755639745135,41.7811888939853,3
11,"A","DRY",2018-05-31,3395.4,2903.5,32.5,79.8,1.31903535885274,350.125939,13.0738763561219,17.2449051909936,16
11,"A","DRY",2018-06-07,3275.6,2903.5,32.5,79.8,1.31903535885274,350.125939,8.94782159462716,11.8024930680193,23
11,"A","DRY",2018-06-20,3185,2903.5,32.5,79.8,1.31903535885274,350.125939,5.82744962975718,7.68661211358302,36
11,"A","DRY",2018-06-13,3226.1,2903.5,32.5,79.8,1.31903535885274,350.125939,7.2429826071982,9.55375016244982,29
11,"A","DRY",2018-05-24,3578.4,2903.5,32.5,79.8,1.31903535885274,350.125939,19.3766144308593,25.5584395691597,9
11,"A","DRY",2018-05-16,4043.4,2903.5,32.5,79.8,1.31903535885274,350.125939,35.391768555192,46.6829941366308,1
28,"A","DRY",2018-05-18,3845.5,2789.1,25.1,81.2,1.30546030296549,270.02576,34.0647520705604,44.4701815584781,3
28,"A","DRY",2018-05-24,3618.6,2789.1,25.1,81.2,1.30546030296549,270.02576,25.9295113118927,33.8499476929706,9
28,"A","DRY",2018-05-31,3447.4,2789.1,25.1,81.2,1.30546030296549,270.02576,19.7913305367323,25.8367963585727,16
28,"A","DRY",2018-06-07,3257.3,2789.1,25.1,81.2,1.30546030296549,270.02576,12.9755118138468,16.9390155836367,23
28,"A","DRY",2018-05-22,3672.6,2789.1,25.1,81.2,1.30546030296549,270.02576,27.8656197339644,36.3774603802223,7
28,"A","DRY",2018-05-16,3940.8,2789.1,25.1,81.2,1.30546030296549,270.02576,37.4816248969202,48.9307733935723,1
28,"A","DRY",2018-06-20,3064,2789.1,25.1,81.2,1.30546030296549,270.02576,6.04496074002368,7.8914562790858,36
28,"A","DRY",2018-06-13,3141.7,2789.1,25.1,81.2,1.30546030296549,270.02576,8.83080563622675,11.5282662012979,29
35,"A","DRY",2018-06-07,3259,2953.6,16.9,85.1,1.38245582834566,272.862355,6.886511375948,9.52029778864798,23
35,"A","DRY",2018-06-13,3214.9,2953.6,16.9,85.1,1.38245582834566,272.862355,5.3934182015168,7.45616242739245,29
35,"A","DRY",2018-06-20,3180.8,2953.6,16.9,85.1,1.38245582834566,272.862355,4.238894907909,5.86008497118352,36
35,"A","DRY",2018-05-31,3375.8,2953.6,16.9,85.1,1.38245582834566,272.862355,10.8410075839653,14.9872141195924,16
35,"A","DRY",2018-05-16,4001.3,2953.6,16.9,85.1,1.38245582834566,272.862355,32.0185536294691,44.2642360802576,1
35,"A","DRY",2018-05-18,3901.4,2953.6,16.9,85.1,1.38245582834566,272.862355,28.6362405200433,39.588337608842,3
35,"A","DRY",2018-05-24,3534.1,2953.6,16.9,85.1,1.38245582834566,272.862355,16.2005687973998,22.3965707564801,9
35,"A","DRY",2018-05-22,3596.9,2953.6,16.9,85.1,1.38245582834566,272.862355,18.3267876489708,25.3359744001728,7
41,"A","DRY",2018-05-22,3844.9,3022.1,26.1,88.4,1.3336882065647,443.403358,23.4373448926243,31.2581104764825,7
41,"A","DRY",2018-06-20,3291.4,3022.1,26.1,88.4,1.3336882065647,443.403358,5.1222659739916,6.83150572040025,36
41,"A","DRY",2018-05-16,4206.8,3022.1,26.1,88.4,1.3336882065647,443.403358,35.4124615333708,47.2291823124828,1
41,"A","DRY",2018-05-24,3769.2,3022.1,26.1,88.4,1.3336882065647,443.403358,20.9324641805367,27.9173806119198,9
41,"A","DRY",2018-06-13,3341.7,3022.1,26.1,88.4,1.3336882065647,443.403358,6.78667151980411,9.05130376779127,29
41,"A","DRY",2018-05-18,4097.9,3022.1,26.1,88.4,1.3336882065647,443.403358,31.8090069819,42.4232974742942,3
41,"A","DRY",2018-06-07,3403.8,3022.1,26.1,88.4,1.3336882065647,443.403358,8.84153403262633,11.7918496672542,23
41,"A","DRY",2018-05-31,3548.5,3022.1,26.1,88.4,1.3336882065647,443.403358,13.6295953145164,18.17763053122,16
