DateTime,RECORD,PTemp,PPFD_Avg,Temp_Avg,RH_Avg,Date,Source
14/03/2018 16:40,6,18.66,85.400,17.530,45.85,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 16:50,7,18.63,53.010,17.520,44.88,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 17:00,8,18.53,45.460,17.240,46.12,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 17:10,9,18.40,35.360,17.070,48.15,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 17:20,10,18.26,32.630,16.880,50.59,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 17:30,11,18.13,26.650,16.760,51.90,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 17:40,12,17.98,24.000,16.310,51.73,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 17:50,13,17.82,19.890,16.060,51.28,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 18:00,14,17.66,15.560,15.880,51.96,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 18:10,15,17.50,10.780,15.700,55.28,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 18:20,16,17.35,7.692,15.750,59.27,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 18:30,17,17.21,6.388,15.650,62.22,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 18:40,18,17.09,4.940,15.530,64.63,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 18:50,19,16.97,2.631,15.360,66.29,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 19:00,20,16.85,1.991,15.000,60.92,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 19:10,21,16.70,1.217,14.460,58.50,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 19:20,22,16.53,1.023,14.260,60.94,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 19:30,23,16.37,906.000,14.260,62.51,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 19:40,24,16.23,906.000,14.200,65.58,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 19:50,25,16.09,0.960,14.030,63.20,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 20:00,26,15.95,807.000,13.680,62.34,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 20:10,27,15.80,808.000,13.620,63.40,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 20:20,28,15.66,807.000,13.540,64.93,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 20:30,29,15.54,813.000,13.750,67.45,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 20:40,30,15.45,821.000,13.610,66.86,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 20:50,31,15.36,1.004,13.520,66.82,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 21:00,32,15.26,999.000,13.270,68.86,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 21:10,33,15.17,943.000,13.430,68.68,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 21:20,34,15.10,946.000,13.310,71.06,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 21:30,35,15.04,1.076,13.410,70.89,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 21:40,36,14.95,1.036,12.930,73.12,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 21:50,37,14.88,1.139,13.350,74.52,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 22:00,38,14.84,901.000,13.560,74.44,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 22:10,39,14.81,1.068,13.370,74.13,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 22:20,40,14.76,1.121,12.950,75.80,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 22:30,41,14.71,1.052,13.030,76.35,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 22:40,42,14.68,1.005,13.270,76.87,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 22:50,43,14.65,903.000,13.370,76.52,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 23:00,44,14.64,1.165,13.410,77.10,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 23:10,45,14.63,1.080,13.420,78.07,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 23:20,46,14.62,978.000,13.470,78.88,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 23:30,47,14.61,1.160,13.350,77.20,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 23:40,48,14.56,986.000,12.620,75.63,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
14/03/2018 23:50,49,14.48,1.005,12.500,75.14,14/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 00:00,50,14.40,1.041,12.490,76.97,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 00:10,51,14.33,1.092,12.520,78.63,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 00:20,52,14.28,893.000,12.520,78.92,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 00:30,53,14.24,1.021,12.440,78.46,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 00:40,54,14.20,1.144,12.390,78.73,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 00:50,55,14.16,1.076,12.360,78.25,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 01:00,56,14.12,1.056,12.290,78.28,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 01:10,57,14.07,1.227,12.270,78.15,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 01:20,58,14.03,1.211,12.180,78.12,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 01:30,59,13.98,1.174,12.190,79.04,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 01:40,60,13.95,924.000,12.390,77.39,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 01:50,61,13.91,1.032,12.150,75.96,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 02:00,62,13.86,1.071,12.010,77.31,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 02:10,63,13.81,1.016,11.840,77.67,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 02:20,64,13.75,1.074,11.850,77.75,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 02:30,65,13.70,1.080,11.850,78.15,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 02:40,66,13.66,1.214,11.730,77.95,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 02:50,67,13.61,1.103,11.640,77.89,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 03:00,68,13.56,955.000,11.480,77.88,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 03:10,69,13.51,1.138,11.390,77.97,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 03:20,70,13.46,1.033,11.380,78.00,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 03:30,71,13.41,999.000,11.380,78.35,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 03:40,72,13.36,1.176,11.300,79.53,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 03:50,73,13.31,989.000,11.370,79.13,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 04:00,74,13.28,917.000,11.360,78.90,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 04:10,75,13.24,985.000,11.350,78.71,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 04:20,76,13.21,1.137,11.290,78.46,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 04:30,77,13.16,996.000,11.180,78.09,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 04:40,78,13.12,1.027,11.080,78.94,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 04:50,79,13.08,1.014,11.490,78.85,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 05:00,80,13.08,1.131,11.870,77.66,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 05:10,81,13.09,1.119,11.490,77.36,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 05:20,82,13.08,842.000,11.260,77.32,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 05:30,83,13.05,0.930,10.960,77.90,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 05:40,84,13.00,1.001,10.770,78.14,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 05:50,85,12.95,1.018,10.600,78.24,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 06:00,86,12.89,1.014,10.430,78.36,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 06:10,87,12.81,0.830,10.290,79.30,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 06:20,88,12.72,1.138,10.220,79.95,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 06:30,89,12.65,1.019,10.290,78.79,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 06:40,90,12.59,1.183,10.370,78.37,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 06:50,91,12.55,1.003,10.440,77.43,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 07:00,92,12.51,1.001,10.480,75.98,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 07:10,93,12.48,1.311,10.590,74.67,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 07:20,94,12.47,1.770,10.720,74.08,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 07:30,95,12.46,3.039,10.890,73.75,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 07:40,96,12.47,5.813,11.240,74.19,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 07:50,97,12.50,15.280,11.110,73.11,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 08:00,98,12.51,31.190,10.790,72.01,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 08:10,99,12.52,23.360,10.650,68.76,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 08:20,100,12.53,43.600,10.560,69.28,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 08:30,101,12.53,56.020,10.480,70.56,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 08:40,102,12.55,60.570,11.190,70.88,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 08:50,103,12.62,78.160,11.760,68.57,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 09:00,104,12.72,88.300,11.600,69.09,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 09:10,105,12.83,125.800,11.960,67.35,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 09:20,106,12.98,89.200,12.720,64.38,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
15/03/2018 09:30,107,13.14,109.100,13.250,62.68,15/03/2018,CR6Series_Test_2018_03_14_1640.dat
