Soil,Plant2,Plant,Treat,Date,time,instrument,stomata
B,B136,136,drought,20180517,mid-morning,Porometer ECOFUN2,402.7
B,B139,139,drought,20180517,mid-morning,Porometer ECOFUN1,298.2
B,B125,125,drought,20180517,mid-morning,Porometer ECOFUN2,388.4
A,A43,43,drought,20180517,mid-morning,Porometer ECOFUN1,397
C,C193,193,drought,20180517,mid-morning,Porometer ECOFUN2,368.4
C,C179,179,drought,20180517,mid-morning,Porometer ECOFUN1,402.6
C,C171,171,drought,20180517,mid-morning,Porometer ECOFUN2,308.5
A,A17,17,drought,20180517,mid-morning,Porometer ECOFUN1,451
C,C175,175,drought,20180517,mid-morning,Porometer ECOFUN2,337
A,A34,34,drought,20180517,mid-morning,Porometer ECOFUN1,523.3
C,C199,199,drought,20180517,mid-morning,Porometer ECOFUN1,317.1
B,B104,104,drought,20180517,mid-morning,Porometer ECOFUN2,482.9
A,A39,39,drought,20180517,mid-morning,Porometer ECOFUN1,413.9
A,A50,50,drought,20180517,mid-morning,Porometer ECOFUN2,386.5
B,B113,113,drought,20180517,mid-morning,Porometer ECOFUN1,314.9
A,A90,90,bag,20180517,mid-morning,Porometer ECOFUN1,586.1
A,A75,75,bag,20180517,mid-morning,Porometer ECOFUN2,157.2
A,A71,71,bag,20180517,mid-morning,Porometer ECOFUN1,523.4
A,A85,85,bag,20180517,mid-morning,Porometer ECOFUN2,448
A,A93,93,bag,20180517,mid-morning,Porometer ECOFUN2,309.5
B,B118,118,drought,20180524,mid-morning,Porometer ECOFUN1,222.2
C,C170,170,drought,20180524,mid-morning,Porometer ECOFUN2,343.6
A,A95,95,control,20180524,mid-morning,Porometer ECOFUN2,128.3
C,C163,163,drought,20180524,mid-morning,Porometer ECOFUN1,369.2
B,B117,117,drought,20180524,mid-morning,Porometer ECOFUN2,89.5
A,A48,48,control,20180524,mid-morning,Porometer ECOFUN1,111
C,C190,190,control,20180524,mid-morning,Porometer ECOFUN2,123.4
B,B160,160,drought,20180524,mid-morning,Porometer ECOFUN1,337.8
B,B160,160,drought,20180524,mid-morning,Porometer ECOFUN2,279.1
B,B121,121,control,20180524,mid-morning,Porometer ECOFUN1,377.3
B,B146,146,drought,20180524,mid-morning,Porometer ECOFUN2,214.1
B,B148,148,drought,20180524,mid-morning,Porometer ECOFUN1,394.7
A,A19,19,drought,20180524,mid-morning,Porometer ECOFUN1,379.6
A,A37,37,drought,20180524,mid-morning,Porometer ECOFUN2,394.5
A,A37,37,drought,20180524,mid-morning,Porometer ECOFUN1,320.7
C,C176,176,drought,20180524,mid-morning,Porometer ECOFUN2,246.2
C,C214,214,control,20180524,mid-morning,Porometer ECOFUN1,353.2
B,B151,151,control,20180524,mid-morning,Porometer ECOFUN2,251.9
A,A13,13,drought,20180524,mid-morning,Porometer ECOFUN1,379.9
C,C165,165,drought,20180524,mid-morning,Porometer ECOFUN1,293.8
C,C165,165,drought,20180524,mid-morning,Porometer ECOFUN2,264.3
C,C170,170,drought,20180524,mid-morning,Porometer ECOFUN1,295.6
A,A24,24,control,20180524,mid-morning,Porometer ECOFUN2,261.2
B,B156,156,control,20180524,mid-morning,Porometer ECOFUN1,354.4
B,B156,156,control,20180524,mid-morning,Porometer ECOFUN2,331.7
A,A95,95,control,20180524,mid-morning,Porometer ECOFUN1,362.8
B,B117,117,drought,20180524,mid-morning,Porometer ECOFUN1,154.3
A,A22,22,drought,20180524,mid-morning,Porometer ECOFUN2,244.6
C,C190,190,control,20180524,mid-morning,Porometer ECOFUN1,154.3
B,B146,146,drought,20180524,mid-morning,Porometer ECOFUN1,154.5
