Date,soilType,plantID,treatment,distance_soil_to_pot_border_cm,pot_weight,plate_weight,pot_plus_plate_weight,plant_weight,cryoSampleSoil_wetWeight_g,Soil_wet_weight,Soil_dry_weight,paper_bag_g
20180613,C,169,Control,NA,111,4.7,NA,43.1,61.1,3247.8,2394.9,17.8
20180613,A,86,Control,NA,100.5,4.5,NA,54.6,44.6,3911.5,3025.6,17.8
20180613,B,141,Control,NA,118.2,4.6,NA,38.2,126,3720.6,2826.2,17.8
20180620,B,114,Control,NA,126,4.4,NA,46.6,98.7,3749,3019.5,17.8
20180620,C,195,Control,NA,106.5,4.8,NA,314.3,42,3099.7,2337.6,17.8
20180620,B,112,Control,NA,125.1,4.7,NA,55.3,53.7,3847.9,3108.6,17.8
20180620,A,47,Control,NA,96.9,4.9,NA,67.5,50.5,3228.8,2602.5,17.8
20180620,C,200,Control,NA,111.4,4.8,NA,79.8,37.3,3056.5,2440.2,17.8
20180620,A,91,Control,NA,113.7,4.9,NA,99.6,25.7,3653,2885.5,17.8
20180620,C,203,Control,NA,105,5,NA,101.9,34.8,3012.2,2277.3,17.8
20180620,A,7,Control,NA,113.5,4.5,NA,98.9,45.2,3360.3,2637.5,17.8
20180620,A,81,Control,NA,112.7,4.6,NA,51.9,41.8,3573,2707,17.8
20180620,B,102,Control,NA,131.3,4.9,NA,36.9,38.8,3893.6,3151.9,17.8
20180620,C,162,Control,NA,130,4.6,NA,56.5,74.6,2999.4,2260.7,17.8
20180620,B,116,Control,NA,122.6,4.9,NA,236.9,56.4,3311.3,2691,17.8
20180621,A,76,drought,4,NA,NA,81.2,38.5,NA,2796.7,2696.9,17.8
20180621,A,35,drought,3.5,NA,NA,85.1,16.9,NA,3083,2971.4,17.8
20180621,A,67,drought,3.5,NA,NA,84.9,30,NA,2832.9,2685,17.8
20180621,A,46,drought,4.5,NA,NA,78.5,25.4,NA,2660.6,2553.7,17.8
20180621,A,41,drought,2.5,NA,NA,88.4,26.1,NA,3170,3039.9,17.8
20180621,A,11,drought,3,NA,NA,79.8,32.5,NA,3075.5,2921.3,17.8
20180621,A,28,drought,3.5,NA,NA,81.2,25.1,NA,2959.7,2806.9,17.8
20180621,A,100,drought,1.5,NA,NA,81.9,41.6,NA,3319.7,3187.1,17.8
20180621,A,64,drought,2.5,NA,NA,80.3,26,NA,3279.5,3101.9,17.8
20180621,A,2,drought,2.5,NA,NA,79,19.8,NA,2932.1,2809.3,17.8
20180621,B,120,drought,3.5,NA,NA,111.2,18.1,NA,3154.8,3068.8,17.8
20180621,B,157,drought,2.5,NA,NA,103,34.4,NA,3016.4,2932.3,17.8
20180621,B,138,drought,4,NA,NA,90,24.5,NA,2813.9,2733.3,17.8
20180621,B,145,drought,3,NA,NA,97.1,17,NA,3480.7,3372.5,17.8
20180621,B,159,drought,4,NA,NA,101.9,26.1,NA,2924.7,2838.6,17.8
20180621,B,105,drought,3,NA,NA,121.3,21.5,NA,3461.3,3344.1,17.8
20180621,B,127,drought,2.5,NA,NA,97.4,19,NA,3420.3,3302.3,17.8
20180621,B,130,drought,3,NA,NA,89.7,29.8,NA,3154.2,3060.4,17.8
20180621,B,155,drought,3,NA,NA,111.1,34.1,NA,2993.9,2915.6,17.8
20180621,B,122,drought,4.5,NA,NA,94.1,20.3,NA,3094.3,2970.2,17.8
20180621,C,191,drought,3.5,NA,NA,83.8,21.6,NA,2897.1,2734.7,17.8
20180621,C,194,drought,3.5,NA,NA,88.4,33.7,NA,2988,2514.1,17.8
20180621,C,201,drought,4.5,NA,NA,86,19.3,NA,2646.9,2488.7,17.8
20180621,C,198,drought,5,NA,NA,95.4,17.3,NA,2543.5,2346.5,17.8
20180621,C,166,drought,4,NA,NA,86,22.7,NA,2606.2,2468.7,17.8
20180621,C,217,drought,6,NA,NA,87.4,24,NA,2267.1,2148,17.8
20180621,C,184,drought,4,NA,NA,93.1,11.6,NA,2617.7,2401.8,17.8
20180621,C,173,drought,5,NA,NA,103.5,22,NA,2459.7,2300,17.8
20180621,C,185,drought,4.5,NA,NA,81.6,20,NA,2706,2535.4,17.8
20180621,C,202,drought,3,NA,NA,93.7,20.6,NA,2888.2,2691.9,17.8
