Code_orig,Treat,Soil,Code,Plant,Type,Date,Time,delta_D_various,delta_O18_various,Comments
DRY_A17_R_180517,DRY,A,A17,17,Root,180517,1,-39.8243716,-4.901064615,
DRY_A17_S_180517,DRY,A,A17,17,Stem,180517,1,-39.43912893,-4.424775632,
DRY_A17_SOIL_180517,DRY,A,A17,17,Soil,180517,1,-31.60783787,-4.417002204,
DRY_A34_R_180517,DRY,A,A34,34,Root,180517,1,-37.87549731,-4.561573017,
DRY_A34_S_180517,DRY,A,A34,34,Stem,180517,1,-38.40668775,-4.470832897,
DRY_A34_SOIL_180517,DRY,A,A34,34,Soil,180517,1,-34.08206702,-5.247835886,
DRY_A39_R_180517,DRY,A,A39,39,Root,180517,1,-36.74523253,-4.520775327,
DRY_A39_S_180517,DRY,A,A39,39,Stem,180517,1,-37.62023766,-3.899674301,
DRY_A43_R_180517,DRY,A,A43,43,Root,180517,1,-42.2704941,-5.33066291,
DRY_A43_S_180517,DRY,A,A43,43,Stem,180517,1,-41.32342152,-4.576412796,
DRY_A43_SOIL_180517,DRY,A,A43,43,Soil,180517,1,-32.85827244,-4.898518716,
DRY_A50_R_180517,DRY,A,A50,50,Root,180517,1,-42.59362356,-5.289336253,
DRY_A50_S_180517,DRY,A,A50,50,Stem,180517,1,-37.05148424,-3.384507825,
DRY_A50_SOIL_180517,DRY,A,A50,50,Soil,180517,1,-33.42665756,-5.026660604,
BAG_A71_R_180517,BAG,A,A71,71,Root,180517,1,-43.28235459,-5.15136955,
BAG_A71_S_180517,BAG,A,A71,71,Stem,180517,1,-40.09393534,-4.609941728,
BAG_A71_SOIL_180517,BAG,A,A71,71,Soil,180517,1,-34.99212486,-5.287847167,
BAG_A75_R_180517,BAG,A,A75,75,Root,180517,1,-40.40526709,-4.970071858,
BAG_A75_S_180517,BAG,A,A75,75,Stem,180517,1,-40.11661412,-4.24316043,
BAG_A75_SOIL_180517,BAG,A,A75,75,Soil,180517,1,-35.80870654,-5.364324227,
BAG_A85_R_180517,BAG,A,A85,85,Root,180517,1,-39.19225431,-5.585153513,
BAG_A85_S_180517,BAG,A,A85,85,Stem,180517,1,-34.25317413,-3.052787355,
BAG_A85_SOIL_180517,BAG,A,A85,85,Soil,180517,1,-30.10953203,-4.180075597,
BAG_A90_R_180517,BAG,A,A90,90,Root,180517,1,-38.91606135,-4.24335192,
BAG_A90_S_180517,BAG,A,A90,90,Stem,180517,1,-36.28674785,-3.21853973,
BAG_A90_SOIL_180517,BAG,A,A90,90,Soil,180517,1,-31.84408586,-4.877265157,
BAG_A93_R_180517,BAG,A,A93,93,Root,180517,1,-40.52098745,-5.12782865,
BAG_A93_S_180517,BAG,A,A93,93,Stem,180517,1,-41.46635046,-4.499033326,
BAG_A93_SOIL_180517,BAG,A,A93,93,Soil,180517,1,-35.3105916,-5.165288661,
DRY_B104_ROCK_180517,DRY,B,B104,104,Rock,180517,1,-30.1798361,-4.728372029,
DRY_B104_R_180517,DRY,B,B104,104,Root,180517,1,-43.22242329,-5.17385587,
DRY_B104_S_180517,DRY,B,B104,104,Stem,180517,1,-38.91953118,-4.656021805,
DRY_B104_SOIL_180517,DRY,B,B104,104,Soil,180517,1,-35.29879035,-5.464823893,
DRY_B125_ROCK_180517,DRY,B,B125,125,Rock,180517,1,-32.18250457,-5.242303823,
DRY_B125_R_180517,DRY,B,B125,125,Root,180517,1,-42.64031596,-5.370253049,
DRY_B125_S_180517,DRY,B,B125,125,Stem,180517,1,-43.18398955,-4.769512939,
DRY_B125_SOIL_180517,DRY,B,B125,125,Soil,180517,1,-32.3512625,-4.826422652,
DRY_B133_ROCK_180517,DRY,B,B133,133,Rock,180517,1,-32.32351702,-5.326773787,
DRY_B133_R_180517,DRY,B,B133,133,Root,180517,1,-42.94339916,-5.216733154,
DRY_B133_S_180517,DRY,B,B133,133,Stem,180517,1,-41.05240191,-4.398602656,
