soilType,plantID,Date_yyyymmdd,height_cm,diam_mm
C,169,20180314,41.4,8.55
B,109,20180314,39.6,10.14
A,91,20180314,27.4,4.53
A,15,20180314,30.5,6.58
B,NA,20180314,40.5,9.96
A,313,20180314,42,4.97
A,95,20180314,31.6,6.43
B,129,20180314,31.5,5.14
C,170,20180314,41.9,5.3
A,4,20180314,40,5.65
A,76,20180314,36,6.38
A,27,20180314,33,6.78
C,207,20180314,32,6.01
B,126,20180314,35,5.91
A,312,20180314,30,5.73
A,314,20180314,31.7,4.99
C,177,20180314,37.5,5.67
A,18,20180314,38.2,7.93
A,93,20180314,30.7,4.66
B,120,20180314,28.5,3.99
C,191,20180314,37.8,6.88
B,104,20180314,41,6
A,82,20180314,49.5,8.29
A,25,20180314,46,7.45
A,65,20180314,46,6.59
B,117,20180314,30,6.77
C,212,20180314,29,4.11
A,14,20180314,30.6,4.83
A,86,20180314,36.5,5.42
A,31,20180314,33,5.7
C,183,20180314,34.5,5.94
B,137,20180314,43,7.77
C,172,20180314,31.8,4.4
A,16,20180314,32.9,8.78
A,59,20180314,34.3,9.18
B,102,20180314,38,6.64
C,195,20180314,29,6.33
B,128,20180314,28,4.91
A,66,20180314,37,6.06
A,9,20180314,30.4,6.8
A,73,20180314,36,5.35
B,134,20180314,39.9,6.76
C,175,20180314,37.5,6.95
A,35,20180314,32.2,6.53
A,67,20180314,41,6.15
A,38,20180314,36.9,9.43
C,168,20180314,46.3,6.88
B,149,20180314,33.5,5.18
C,190,20180314,38.4,6.48
A,6,20180314,28.4,4.92
A,52,20180314,30.5,7.81
B,116,20180314,32.9,6.03
C,194,20180314,41,6.99
B,154,20180314,43,9.13
A,84,20180314,44.5,9.53
A,26,20180314,43.5,6.66
A,56,20180314,44,7.32
B,146,20180314,34.7,7.73
C,211,20180314,48.8,6.32
A,46,20180314,31,4.99
A,77,20180314,32.5,5.99
A,45,20180314,34.8,6.46
C,186,20180314,34.4,4.91
B,133,20180314,37.5,6.23
B,157,20180314,38,7.43
A,58,20180314,38.2,6.18
A,3,20180314,31,5.45
C,208,20180314,30.5,5.07
A,40,20180314,27.5,5.86
A,71,20180314,38.5,7.9
B,124,20180314,34,9.66
C,200,20180314,27.3,4.67
A,47,20180314,33.5,5.75
C,176,20180314,38.1,5.48
B,135,20180314,42.3,6.24
A,53,20180314,43.6,8.5
B,151,20180314,48,9.06
C,171,20180314,29.9,4.02
A,8,20180314,32.4,5.38
A,63,20180314,42.5,8.7
B,138,20180314,32.4,5.91
A,88,20180314,35.5,4.12
A,33,20180314,25.3,4.68
C,205,20180314,31.7,5.62
A,24,20180314,36.5,6.78
A,51,20180314,43.6,6.64
B,140,20180314,46.5,6.68
C,201,20180314,35.1,6.23
A,41,20180314,41.5,4.9
C,182,20180314,39.5,5.62
B,107,20180314,31,6.17
A,78,20180314,40.5,9.23
B,152,20180314,44.9,9.08
C,193,20180314,41.3,6.62
A,21,20180314,44.9,6
A,96,20180314,36,7.36
B,112,20180314,36,6.85
A,95,20180314,33,5.15
A,22,20180314,32.4,8.3
C,210,20180314,27.6,4.93
A,44,20180314,49.5,6.57
A,83,20180314,47,6.75
B,103,20180314,32.5,8.38
C,198,20180314,34,3.77
A,61,20180314,44.6,7.22
B,150,20180314,33.1,7.13
C,209,20180314,32.1,5.1
A,11,20180314,30.3,9.15
A,87,20180314,44.5,9.65
A,10,20180314,26.9,4.64
C,192,20180314,31.9,6.38
B,125,20180314,35.8,5.95
C,206,20180314,38.4,6.19
A,42,20180314,40.6,6.17
A,90,20180314,41.2,8.65
B,145,20180314,32.1,6.66
C,166,20180314,50.9,7.5
B,136,20180314,33.2,5.38
A,55,20180314,31.2,7.03
A,5,20180314,29,3.33
A,98,20180314,43.3,7.03
B,159,20180314,38.5,9.11
C,181,20180314,35.5,7.01
A,28,20180314,48.5,7.15
C,217,20180314,35.7,5.41
B,105,20180314,41.7,8.1
A,68,20180314,31.4,9.13
A,29,20180314,42,6.01
A,97,20180314,26.1,4.46
B,118,20180314,22,5.08
C,216,20180314,40.1,4.86
A,20,20180314,34.6,6.76
A,100,20180314,45.3,10.19
A,50,20180314,30.6,5.31
C,187,20180314,48.4,8.43
B,110,20180314,31.5,4.23
C,174,20180314,40.3,9.78
A,1,20180314,30.4,6.6
A,79,20180314,28.9,5.6
B,141,20180314,29.9,4.5
C,184,20180314,40.6,3.98
B,153,20180314,36.9,6.92
A,62,20180314,39,4.46
A,48,20180314,37.5,5.74
B,143,20180314,36.5,6.97
C,163,20180314,40.2,7.59
A,30,20180314,32.5,6.92
A,64,20180314,32.2,9.61
B,142,20180314,30.3,6.85
A,85,20180314,42.5,9.58
A,36,20180314,35.5,6.55
C,220,20180314,48.2,7.59
A,49,20180314,47.7,8.6
A,54,20180314,48.5,9.59
B,113,20180314,28.4,3.98
C,203,20180314,42.5,5.78
A,7,20180314,27.3,5.81
C,213,20180314,32.5,8.61
B,132,20180314,32.9,7.44
A,89,20180314,45.9,8.77
B,121,20180314,27.8,5.57
C,188,20180314,51.5,6.93
A,23,20180314,32.7,7.52
A,70,20180314,34,7.03
B,114,20180314,28.7,5.63
A,72,20180314,42.1,7.56
A,39,20180314,37.4,8.52
C,218,20180314,29.8,4.93
B,148,20180314,31.5,6.47
C,199,20180314,35.8,7.16
A,12,20180314,34.3,6.33
A,81,20180314,31.4,5.25
B,127,20180314,31.9,5.24
A,94,20180314,27.9,3.45
A,19,20180314,34.7,5.91
C,164,20180314,34.3,6.33
A,80,20180314,31,7.4
B,144,20180314,47,8.07
C,197,20180314,46,6.87
B,123,20180314,27.5,3.78
C,162,20180314,38.5,6.33
A,34,20180314,35.3,7.9
C,215,20180314,27.5,4.25
B,147,20180314,37.4,6.83
C,214,20180314,30.6,4.28
A,69,20180314,31.4,6.46
B,130,20180314,37.3,6.96
B,NA,20180314,33,4.64
C,173,20180314,31.6,4.89
B,106,20180314,30.5,8.04
A,57,20180314,37,7.28
A,13,20180314,28.2,7.07
A,17,20180314,34,8.63
A,60,20180314,38.5,7.09
B,108,20180314,27.7,7.47
C,179,20180314,31.4,6.24
B,155,20180314,40.6,8.4
A,43,20180314,29.5,6.89
C,165,20180314,37.5,8.01
B,156,20180314,35.6,4.59
C,219,20180314,36.2,5.09
A,74,20180314,36.7,6.59
B,131,20180314,30.5,6.44
C,185,20180314,33.7,8.37
C,202,20180314,25.6,4.54
B,101,20180314,42.6,7.19
A,75,20180314,30.9,6.69
A,32,20180314,31.6,7.01
A,92,20180314,31.4,5.24
B,115,20180314,28.9,4.54
C,178,20180314,42,6.41
A,2,20180314,32.1,5.4
B,122,20180314,26.8,4.72
A,37,20180314,39.1,4.63
C,189,20180314,40.5,7.22
B,119,20180314,43.5,9.72
C,196,20180314,29,5.58
B,111,20180314,37,7.72
C,180,20180314,23.5,4.5
B,160,20180314,31.6,4.1
C,167,20180314,30.6,4.41
B,139,20180314,28.3,6.96
C,204,20180314,34.6,6.98
B,158,20180314,25.9,4.34
A,302,20180314,47.4,5.95
A,301,20180314,30.7,5.84
A,303,20180314,34.4,6.28
A,306,20180314,30.2,6.84
B,NA,20180314,29.5,6.19
B,NA,20180314,30.4,5.76
A,304,20180314,28.5,5.92
B,401,20180314,35,4.88
A,309,20180314,25,4.04
A,308,20180314,35.2,5.5
