Date,Soil,Plant,rep,Treat,instrument,stomata
20180517,A,50,leaf1,drought,Porometer ECOFUN1,445.3
20180517,A,50,leaf1,drought,Porometer ECOFUN2,424.3
20180517,A,50,leaf2,drought,Porometer ECOFUN1,506.2
20180517,A,50,leaf2,drought,Porometer ECOFUN2,441.4
20180517,A,50,leaf3,drought,Porometer ECOFUN1,479
20180517,A,50,leaf3,drought,Porometer ECOFUN2,404.8
20180517,B,136,leaf1,drought,Porometer ECOFUN1,446.9
20180517,B,136,leaf1,drought,Porometer ECOFUN2,510.5
20180517,B,136,leaf2,drought,Porometer ECOFUN1,528
20180517,B,136,leaf2,drought,Porometer ECOFUN2,525.2
20180517,B,136,leaf3,drought,Porometer ECOFUN1,571.4
20180517,B,136,leaf3,drought,Porometer ECOFUN2,552.7
20180517,B,139,leaf1,drought,Porometer ECOFUN1,369.2
20180517,B,139,leaf1,drought,Porometer ECOFUN2,312.7
20180517,B,139,leaf2,drought,Porometer ECOFUN1,144.7
20180517,B,139,leaf2,drought,Porometer ECOFUN2,161
20180517,B,139,leaf3,drought,Porometer ECOFUN1,371.6
20180517,B,139,leaf3,drought,Porometer ECOFUN2,405.8
20180517,C,199,leaf1,drought,Porometer ECOFUN1,346.3
20180517,C,199,leaf1,drought,Porometer ECOFUN2,302.7
20180517,C,199,leaf2,drought,Porometer ECOFUN1,342.3
20180517,C,199,leaf2,drought,Porometer ECOFUN2,319.9
20180517,C,199,leaf3,drought,Porometer ECOFUN1,425.1
20180517,C,199,leaf3,drought,Porometer ECOFUN2,399.7
20180524,A,84,leaf1,Bag,Porometer ECOFUN1,670.2
20180524,A,84,leaf1,Bag,Porometer ECOFUN1,586.3
20180524,A,95,leaf1,control,Porometer ECOFUN2,128.3
20180524,A,95,leaf1,control,Porometer ECOFUN1,362.8
20180524,A,19,leaf1,drought,Porometer ECOFUN1,379.6
20180524,A,19,leaf1,drought,Porometer ECOFUN2,253.4
20180524,A,22,leaf1,drought,Porometer ECOFUN2,244.6
20180524,A,22,leaf1,drought,Porometer ECOFUN1,304.3
20180524,A,37,leaf1,drought,Porometer ECOFUN2,394.5
20180524,A,37,leaf1,drought,Porometer ECOFUN1,320.7
20180524,B,121,leaf1,control,Porometer ECOFUN1,377.3
20180524,B,121,leaf1,control,Porometer ECOFUN2,413.8
20180524,B,156,leaf1,control,Porometer ECOFUN1,354.4
20180524,B,156,leaf1,control,Porometer ECOFUN2,331.7
20180524,B,117,leaf1,drought,Porometer ECOFUN2,89.5
20180524,B,117,leaf1,drought,Porometer ECOFUN1,154.3
