Soil,Plant,Treat,Date,weight_g
A,91,control,20180516,4014.2
A,86,control,20180516,4076.1
A,47,control,20180516,3784.1
A,7,control,20180516,3783.6
A,81,control,20180516,3867.6
B,102,control,20180516,4270.6
B,116,control,20180516,4086.2
B,112,control,20180516,4135
B,141,control,20180516,3999.5
B,114,control,20180516,3986.1
C,169,control,20180516,3678.2
C,195,control,20180516,3625.1
C,200,control,20180516,3549.2
C,203,control,20180516,3561.6
C,162,control,20180516,3426.7
A,76,drought,20180516,3790.6
A,35,drought,20180516,4001.3
A,67,drought,20180516,3786.6
A,46,drought,20180516,3554.6
A,41,drought,20180516,4206.8
A,11,drought,20180516,4043.4
A,28,drought,20180516,3940.8
A,100,drought,20180516,4497.3
A,64,drought,20180516,4374.9
A,2,drought,20180516,3881.5
B,120,drought,20180516,4053
B,157,drought,20180516,3846.2
B,138,drought,20180516,3703.6
B,145,drought,20180516,4394
B,159,drought,20180516,3809.1
B,105,drought,20180516,4325.4
B,127,drought,20180516,4217.8
B,130,drought,20180516,4063.9
B,155,drought,20180516,3915
B,122,drought,20180516,3997.9
C,191,drought,20180516,3925.5
C,194,drought,20180516,3616.5
C,201,drought,20180516,3686.3
C,198,drought,20180516,3583.6
C,166,drought,20180516,3626.5
C,217,drought,20180516,3074.6
C,184,drought,20180516,3561.1
C,173,drought,20180516,3333
C,185,drought,20180516,3632.5
C,202,drought,20180516,3988
A,91,control,20180518,3967.5
A,86,control,20180518,4027
A,47,control,20180518,3740.6
A,7,control,20180518,3733.7
A,81,control,20180518,3821.1
B,102,control,20180518,4231.4
B,116,control,20180518,4045.3
B,112,control,20180518,4094.4
B,141,control,20180518,3956.9
B,114,control,20180518,3942.3
C,169,control,20180518,3621
C,195,control,20180518,3577
C,200,control,20180518,3507.1
C,203,control,20180518,3501.3
C,162,control,20180518,3398.6
A,76,drought,20180518,3721.9
A,35,drought,20180518,3901.4
A,67,drought,20180518,3701.3
A,46,drought,20180518,3472.8
A,41,drought,20180518,4097.9
A,11,drought,20180518,3935.5
A,28,drought,20180518,3845.5
A,100,drought,20180518,4392.4
A,64,drought,20180518,4267.3
A,2,drought,20180518,3819.9
B,120,drought,20180518,3956.9
B,157,drought,20180518,3753.9
B,138,drought,20180518,3566.9
B,145,drought,20180518,4308.5
B,159,drought,20180518,3697.3
B,105,drought,20180518,4237.9
B,127,drought,20180518,4122.6
B,130,drought,20180518,3980.9
B,155,drought,20180518,3809.4
B,122,drought,20180518,3931
C,191,drought,20180518,3833.8
C,194,drought,20180518,3538
C,201,drought,20180518,3601.8
C,198,drought,20180518,3499.9
C,166,drought,20180518,3539.5
C,217,drought,20180518,3013
C,184,drought,20180518,3511.8
C,173,drought,20180518,3295.3
C,185,drought,20180518,3588
C,202,drought,20180518,3938.7
A,91,control,20180522,4090
A,86,control,20180522,4100.3
