notes,Date,Soil,Treat,Plant,experiment,round,HHMMSS,Photo,Cond,Ci,Trmmol,VpdL,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press
low light,20180524,B,drought,160,calibPorom,R1,10:18:18,5.3,0.1878,369.4,1.71,0.9662,21.08,19.8,20.986,430.424,423.192,11.3058,13.3308,45.696,53.882,499.9,99,12.2,101.4
low light,20180524,A,drought,37,calibPorom,R1,10:24:14,4.948,0.162,365.4,1.528,0.9938,21.054,19.942,20.982,429.86,423.142,11.456,13.2662,46.372,53.696,499.9,100,15,101.4
low light,20180524,C,drought,165,calibPorom,R1,10:31:13,5.912,0.1598,354,1.49,0.9808,21.104,20,20.984,430.026,422.18,11.7076,13.4734,47.246,54.372,499.9,99,25.8,101.4
low light,20180524,B,control,156,calibPorom,R1,10:37:26,6.554,0.2036,360,1.818,0.9524,21.172,20.172,20.974,429.49,420.7,11.8474,13.9984,47.61,56.256,499.9,141,22.2,101.4
low light,20180524,C,control,214,calibPorom,R1,10:44:46,6.318,0.179,355.6,1.648,0.973,21.204,20.308,20.978,429.456,421.044,12.0456,13.9948,48.306,56.126,499.9,139.8,43,101.4
low light,20180524,A,drought,19,calibPorom,R1,10:52:55,6.166666667,0.183,358.8333333,1.665,0.963166667,21.26833333,20.40333333,20.98666667,430.0283333,421.7833333,12.25883333,14.2285,48.97333333,56.84,499.9,141,29.16666667,101.4
low light,20180524,B,control,121,calibPorom,R1,11:02:23,6.87,0.279666667,372.1666667,2.168333333,0.846666667,21.29333333,20.16833333,20.98166667,429.5733333,420.2316667,12.47183333,15.03583333,49.75666667,59.98833333,499.9,139,27,101.4
low light,20180524,C,drought,209,calibPorom,R1,11:09:36,8.474,0.2372,352,2.024,0.919,21.468,20.76,20.976,430.19,419.004,12.7996,15.1918,50.512,59.954,499.9,210,45.6,101.4
low light,20180524,A,drought,22,calibPorom,R1,11:16:04,8.186,0.159,327.4,1.516,1.004,21.578,21.09,20.98,430.356,419.766,13.0622,14.8572,51.206,58.244,499.9,211,64.8,101.4
low light,20180524,A,bag,82,calibPorom,R1,11:22:16,7.43,0.3608,377.6,2.682,0.8314,21.766,21.128,20.976,429.612,419.346,13.4514,16.616,52.132,64.396,499.9,209,66.6,101.4
nothing,20180524,C,control,195,ACi,R1,09:15:39,11.83333333,0.346666667,333.3333333,3.083333333,0.991833333,21.79833333,20.84833333,21.95166667,415.285,399.5933333,10.966,14.61366667,42.40833333,56.515,499.9,1199.166667,6,101.4
nothing,20180524,C,control,195,ACi,R1,09:22:18,9.245,0.345333333,231.6666667,3.155,1.018333333,21.815,21.105,21.94833333,295.0683333,282.9016667,11.00966667,14.73983333,42.53166667,56.94166667,499.9,1199,6,101.4
nothing,20180524,C,control,195,ACi,R1,09:27:29,5.743333333,0.374666667,142.6666667,3.306666667,0.992333333,21.83,21.08333333,21.95,179.8066667,172.23,11.04966667,14.95733333,42.64666667,57.72666667,499.9,1199.333333,5,101.4
nothing,20180524,C,control,195,ACi,R1,09:32:09,0.4408,0.3988,56.8,3.382,0.9618,21.816,20.972,21.95,60.44,59.67,11.0932,15.0916,42.86,58.308,499.9,1200,4.4,101.4
nothing,20180524,C,control,195,ACi,R1,09:36:02,-0.2808,0.4028,36.2,3.434,0.9666,21.826,21.07,21.946,35.312,35.506,11.1356,15.1942,42.996,58.664,499.9,1199.2,4,101.4
nothing,20180524,C,control,195,ACi,R1,09:42:06,11,0.407666667,341.1666667,3.416666667,0.9515,21.83,21.00666667,21.94666667,410.0866667,395.2566667,11.20966667,15.24616667,43.275,58.85833333,499.9,1199.833333,4,101.4
nothing,20180524,C,control,195,ACi,R1,09:51:31,14.08,0.3184,533.8,2.95,1.024,21.862,21.102,21.944,639.772,620.654,11.1844,14.673,43.098,56.542,499.9,1200,4,101.4
nothing,20180524,C,control,195,ACi,R1,09:58:28,14.98,0.2362,755.8,2.456,1.12,21.872,21.344,21.944,899.968,879.39,11.1886,14.0948,43.086,54.276,499.9,1201,5,101.4
nothing,20180524,C,control,195,ACi,R1,10:05:25,15.58,0.1734,1006,1.95,1.19,21.894,21.402,21.952,1199.898,1178.444,11.1792,13.4922,42.99,51.886,499.9,1199,7,101.4
nothing,20180524,B,drought,117,ACi,R1,11:41:48,8.716,0.1366,286.4,1.508,1.142,22.126,23.758,20.976,409.93,398.744,16.076,17.8512,60.94,67.672,499.9,1199.2,18,101.4
nothing,20180524,B,drought,117,ACi,R1,11:48:06,3.356666667,0.149833333,130.5,1.623333333,1.128333333,22.20833333,23.85,20.96666667,175.0066667,170.6483333,16.24683333,18.16016667,61.28,68.495,499.9,1199,16.16666667,101.4
nothing,20180524,B,drought,117,ACi,R1,11:53:59,0.2582,0.1788,56.24,1.854,1.09,22.25,23.898,20.978,60.106,59.66,16.4222,18.6058,61.778,69.994,499.9,1199.6,16.4,101.4
nothing,20180524,B,drought,117,ACi,R1,11:57:48,-0.378666667,0.1925,38.06666667,1.951666667,1.07,22.22166667,23.88166667,20.96333333,35,35.37166667,16.48233333,18.781,62.11833333,70.77666667,499.9,1200,15,101.4
nothing,20180524,B,drought,117,ACi,R1,12:04:04,8.443333333,0.187333333,317.1666667,1.898333333,1.071666667,22.215,23.90833333,20.965,410.6733333,399.6316667,16.6065,18.84116667,62.60166667,71.02833333,499.9,1200.666667,13.16666667,101.3333333
nothing,20180524,B,drought,117,ACi,R1,12:07:42,11.1,0.1595,459.5,1.675,1.095,22.19,23.94,20.965,600.32,585.82,16.64,18.615,62.83,70.29,499.9,1199.5,15.5,101.3
nothing,20180524,B,drought,117,ACi,R1,12:16:09,12.2,0.09692,662.4,1.128,1.19,22.262,24.166,20.976,900.47,884.624,16.768,18.0974,63.03,68.024,499.9,1199.2,15,101.3
nothing,20180524,B,drought,117,ACi,R1,12:20:49,12.92,0.07052,863.4,0.867,1.246,22.31,24.346,20.974,1199.434,1182.73,16.8544,17.876,63.158,66.984,499.9,1199,14,101.3
nothing,20180524,B,drought,117,ACi,R1,12:26:00,13.44,0.05424,1346,0.686,1.274,22.328,24.44,20.974,1798.972,1781.394,16.9512,17.7598,63.458,66.488,499.9,1200,14,101.3
nothing,20180524,A,drought,42,ACi,R1,13:29:21,8.686,0.1352,286.4,1.256,0.9628,22.84,24.446,20.96,410.092,399.064,19.388,20.8664,70.316,75.68,499.8,1199.4,30.2,101.3
nothing,20180524,A,drought,42,ACi,R1,13:33:18,3.286666667,0.135333333,127.8333333,1.365,1.041666667,23.4,24.85833333,21.93,175.1366667,170.91,19.24916667,20.85183333,67.47833333,73.095,499.8333333,1199.833333,29.83333333,101.3
nothing,20180524,A,drought,42,ACi,R1,13:52:39,3.815,0.169666667,130.1666667,1.75,1.075,23.57,25.11666667,21.92833333,175.5,170.5633333,18.93483333,20.98866667,65.695,72.82166667,499.8166667,1200.666667,27.33333333,101.3
low light,20180524,A,drought,42,ACi,R1,14:01:46,0.178,56.38333333,1.803333333,1.061666667,6,25.10166667,21.93,60.01166667,59.6,18.98383333,21.104,65.72833333,73.06833333,499.8333333,1199,30.66666667,101.2666667,
nothing,20180524,A,drought,42,ACi,R1,14:04:44,-0.529166667,0.181,41.08333333,1.85,1.073333333,23.67,25.20833333,21.92833333,36.26833333,36.82333333,19.03383333,21.2075,65.64,73.13333333,499.8666667,1199.166667,29,101.3
nothing,20180524,A,drought,42,ACi,R1,14:09:42,10.1,0.172333333,292.3333333,1.766666667,1.073333333,23.65333333,25.20666667,21.92,409.5133333,396.5933333,19.109,21.18866667,65.96333333,73.13666667,499.8333333,1199,28,101.2333333
nothing,20180524,A,drought,42,ACi,R1,14:14:16,12.93333333,0.145666667,426,1.57,1.12,23.68666667,25.31,21.94,600.31,583.6866667,19.095,20.942,65.77666667,72.14,499.8666667,1200.333333,27.33333333,101.3
nothing,20180524,A,drought,42,ACi,R1,14:20:28,14.8,0.118,658,1.306666667,1.136666667,23.55,25.17666667,21.92,899.4133333,880.27,18.948,20.484,65.81666667,71.15333333,499.8666667,1200,17,101.3
