Soil,Plant,Treat,Date,time,WP_Mpa,notes
A,26,control,20180607,predawn,-0.45,nothing
A,32,control,20180607,predawn,-0.584,nothing
A,80,control,20180607,predawn,-0.862,nothing
A,86,control,20180607,predawn,-0.98,nothing
B,137,control,20180607,predawn,-0.513,nothing
A,1,drought,20180607,predawn,-0.537,nothing
A,14,drought,20180607,predawn,-0.59,nothing
A,20,drought,20180607,predawn,-0.523,nothing
A,44,drought,20180607,predawn,-1.538,nothing
A,45,drought,20180607,predawn,-0.557,nothing
B,110,control,20180607,predawn,-1.4,nothing
B,133,control,20180607,predawn,-0.829,nothing
B,141,control,20180607,predawn,-0.611,nothing
C,177,control,20180607,predawn,-0.413,nothing
C,220,control,20180607,predawn,-0.599,nothing
B,110,control,20180607,midday,-1.18,nothing
B,116,control,20180607,mid-morning,-1.284,nothing
B,137,control,20180607,midday,-1.199,nothing
B,111,drought,20180607,predawn,-1.96,nothing
B,129,drought,20180607,predawn,-0.7,nothing
B,132,drought,20180607,predawn,-1.465,nothing
B,135,drought,20180607,predawn,-2,nothing
B,144,drought,20180607,predawn,-0.856,nothing
B,111,drought,20180607,midday,-2.26,nothing
B,129,drought,20180607,midday,-1.952,nothing
B,132,drought,20180607,midday,-2.019,nothing
B,135,drought,20180607,midday,-2.741,nothing
C,169,control,20180607,predawn,-0.783,nothing
C,218,control,20180607,predawn,-1.6,nothing
C,164,drought,20180607,predawn,-0.658,nothing
C,167,drought,20180607,predawn,-1,nothing
C,168,drought,20180607,predawn,-1.146,nothing
C,182,drought,20180607,predawn,-0.694,nothing
C,206,drought,20180607,predawn,-0.603,nothing
A,18,50mL,20180620,predawn,-1.423,nothing
A,38,50mL,20180620,predawn,NA,nothing
A,57,50mL,20180620,predawn,-0.571,nothing
A,69,50mL,20180620,predawn,-1.693,nothing
A,18,50mL,20180620,mid-morning,-1.908,measurements from 9.30 to 11.00
A,38,50mL,20180620,mid-morning,-2.428,measurements from 9.30 to 11.00
A,57,50mL,20180620,mid-morning,-2.042,measurements from 9.30 to 11.00
A,69,50mL,20180620,mid-morning,-2.258,measurements from 9.30 to 11.00
A,18,50mL,20180620,midday,-2.806,measurements from 12.30 to 14.30
A,38,50mL,20180620,midday,-2.308,measurements from 12.30 to 14.30
A,57,50mL,20180620,midday,-2.061,measurements from 12.30 to 14.30
A,69,50mL,20180620,midday,-2.258,measurements from 12.30 to 14.30
A,7,control,20180620,predawn,-0.409,nothing
A,47,control,20180620,predawn,-0.543,nothing
A,81,control,20180620,predawn,-0.849,nothing
A,91,control,20180620,predawn,-0.518,nothing
A,7,control,20180620,mid-morning,-1.227,measurements from 9.30 to 11.00
A,47,control,20180620,mid-morning,-1.712,measurements from 9.30 to 11.00
A,91,control,20180620,mid-morning,-2.121,measurements from 9.30 to 11.00
A,7,control,20180620,midday,-1.721,measurements from 12.30 to 14.30
A,47,control,20180620,midday,-2.264,measurements from 12.30 to 14.30
A,81,control,20180620,midday,-1.682,measurements from 12.30 to 14.30
A,91,control,20180620,midday,-1.445,measurements from 12.30 to 14.30
A,7,control,20180620,afternoon,-2.547,measurements from 2.30 to 4 PM
A,47,control,20180620,afternoon,-1.386,measurements from 2.30 to 4 PM
A,91,control,20180620,afternoon,-1.198,measurements from 2.30 to 4 PM
A,9,drought,20180620,predawn,-4.383,nothing
A,12,drought,20180620,predawn,-1.807,nothing
A,15,drought,20180620,predawn,-1.504,nothing
A,21,drought,20180620,predawn,-1.89,nothing
A,89,drought,20180620,predawn,-2.644,nothing
A,9,drought,20180620,mid-morning,-5.204,measurements from 9.30 to 11.00
A,15,drought,20180620,mid-morning,-2.605,measurements from 9.30 to 11.00
A,21,drought,20180620,mid-morning,NA,value below -7.2 Mpa. measurements from 9.30 to 11
A,9,drought,20180620,midday,-5.342,measurements from 12.30 to 14.30
A,12,drought,20180620,midday,-2.423,measurements from 12.30 to 14.30
A,15,drought,20180620,midday,-2.531,measurements from 12.30 to 14.30
A,21,drought,20180620,midday,-2.459,measurements from 12.30 to 14.30
A,89,drought,20180620,midday,-2.854,measurements from 12.30 to 14.30
