Plant,Date,Soil,Treat,pd_wp,notes_pd_wp,md_wp,notes_md_wp
71,180517,A,BAG,-0.348,nothing,-1.07,nothing
75,180517,A,BAG,-0.9,nothing,-1.62,nothing
85,180517,A,BAG,-0.355,nothing,-1.67,nothing
90,180517,A,BAG,-0.439,nothing,-0.56,nothing
93,180517,A,BAG,-0.48,nothing,-1.29,nothing
74,180524,A,BAG,-0.186,nothing,-1.6,some leaves were kept in a sealed bag in the sun for a bit too long!
82,180524,A,BAG,-0.722,nothing,-1.548,some leaves were kept in a sealed bag in the sun for a bit too long!
84,180524,A,BAG,-1.206,nothing,-2.205,some leaves were kept in a sealed bag in the sun for a bit too long!
87,180524,A,BAG,-0.631,nothing,-1.792,some leaves were kept in a sealed bag in the sun for a bit too long!
94,180524,A,BAG,-0.847,nothing,-1.886,some leaves were kept in a sealed bag in the sun for a bit too long!
24,180524,A,CONTROL,-0.779,nothing,-2.066,some leaves were kept in a sealed bag in the sun for a bit too long!
48,180524,A,CONTROL,-0.606,nothing,-1.58,some leaves were kept in a sealed bag in the sun for a bit too long!
95,180524,A,CONTROL,-0.58,nothing,-1.808,some leaves were kept in a sealed bag in the sun for a bit too long!
121,180524,B,CONTROL,-0.453,nothing,-1.666,some leaves were kept in a sealed bag in the sun for a bit too long!
151,180524,B,CONTROL,-0.439,nothing,-2.131,some leaves were kept in a sealed bag in the sun for a bit too long!
156,180524,B,CONTROL,-0.534,nothing,-1.773,some leaves were kept in a sealed bag in the sun for a bit too long!
181,180524,C,CONTROL,-0.59,nothing,-2.621,some leaves were kept in a sealed bag in the sun for a bit too long!
190,180524,C,CONTROL,-0.427,nothing,-2.418,some leaves were kept in a sealed bag in the sun for a bit too long!
214,180524,C,CONTROL,-0.508,nothing,-1.664,some leaves were kept in a sealed bag in the sun for a bit too long!
26,180613,A,CONTROL,-1.098,nothing,-2.242,nothing
32,180613,A,CONTROL,-0.399,nothing,-1.712,nothing
80,180613,A,CONTROL,-0.739,nothing,-1.422,nothing
86,180613,A,CONTROL,-0.508,nothing,-1.806,nothing
110,180613,B,CONTROL,-0.642,nothing,-1.651,nothing
133,180613,B,CONTROL,-1.054,nothing,-1.534,nothing
137,180613,B,CONTROL,-0.648,nothing,NA,"this has to be wrong, original reading: -0.321 MPa"
141,180613,B,CONTROL,-0.75,nothing,-1.01,nothing
169,180613,C,CONTROL,-0.743,nothing,-1.939,nothing
177,180613,C,CONTROL,NA,too late,-0.817,nothing
218,180613,C,CONTROL,-1.345,nothing,-1.274,nothing
220,180613,C,CONTROL,-1.622,nothing,-1.753,nothing
7,180620,A,CONTROL,-0.409,nothing,-1.721,measurements from 12.30 to 14.30
47,180620,A,CONTROL,-0.543,nothing,-2.264,measurements from 12.30 to 14.30
81,180620,A,CONTROL,-0.849,nothing,-1.682,measurements from 12.30 to 14.30
91,180620,A,CONTROL,-0.518,nothing,-1.445,measurements from 12.30 to 14.30
102,180620,B,CONTROL,-0.579,nothing,-1.953,measurements from 12.30 to 14.30
