Plant,Date,Soil,Treat,pd_wp,notes_pd_wp,md_wp,notes_md_wp
1,20180607,A,DRY,-0.537,nothing,NA,NA
1,20180613,A,DRY,-0.578,nothing,-0.815,nothing
7,20180620,A,CONTROL,-0.409,nothing,-1.721,measurements from 12.30 to 14.30
9,20180620,A,DRY,-4.383,nothing,-5.342,measurements from 12.30 to 14.30
10,20180528,A,DRY,-0.609,nothing,NA,NA
10,20180531,A,DRY,-0.673,nothing,-1.76,nothing
12,20180620,A,DRY,-1.807,nothing,-2.423,measurements from 12.30 to 14.30
13,20180522,A,DRY,-0.444,nothing,NA,NA
13,20180524,A,DRY,-0.624,nothing,-1.67,some leaves were kept in a sealed bag in the sun for a bit too long!
14,20180607,A,DRY,-0.59,nothing,NA,NA
14,20180613,A,DRY,-0.69,nothing,-2.236,nothing
15,20180620,A,DRY,-1.504,nothing,-2.531,measurements from 12.30 to 14.30
16,20180528,A,DRY,-0.424,nothing,NA,NA
16,20180531,A,DRY,-0.76,nothing,-0.927,nothing
17,20180517,A,DRY,-0.47,nothing,-1.66,nothing
18,20180620,A,50mL,-1.423,nothing,-2.806,measurements from 12.30 to 14.30
19,20180522,A,DRY,-0.394,nothing,NA,NA
19,20180524,A,DRY,-0.538,nothing,-1.925,some leaves were kept in a sealed bag in the sun for a bit too long!
20,20180607,A,DRY,-0.523,nothing,NA,NA
20,20180613,A,DRY,-0.674,nothing,-1.249,nothing
21,20180620,A,DRY,-1.89,nothing,-2.459,measurements from 12.30 to 14.30
22,20180522,A,DRY,-0.278,nothing,NA,NA
22,20180524,A,DRY,-0.583,nothing,-1.647,some leaves were kept in a sealed bag in the sun for a bit too long!
23,20180528,A,DRY,-0.834,nothing,NA,NA
23,20180531,A,DRY,-1.047,nothing,-1.935,nothing
24,20180522,A,CONTROL,-0.739,nothing,NA,NA
24,20180524,A,CONTROL,-0.779,nothing,-2.066,some leaves were kept in a sealed bag in the sun for a bit too long!
26,20180607,A,CONTROL,-0.45,nothing,NA,NA
26,20180613,A,CONTROL,-1.098,nothing,-2.242,nothing
27,20180528,A,DRY,-0.702,nothing,NA,NA
27,20180531,A,DRY,-0.457,nothing,-1.27,nothing
32,20180607,A,CONTROL,-0.584,nothing,NA,NA
32,20180613,A,CONTROL,-0.399,nothing,-1.712,nothing
34,20180517,A,DRY,-0.583,nothing,-1.95,nothing
36,20180528,A,DRY,-0.5,nothing,NA,NA
36,20180531,A,DRY,-0.486,nothing,-1.322,nothing
37,20180522,A,DRY,-0.352,nothing,NA,NA
37,20180524,A,DRY,-0.421,nothing,-1.324,some leaves were kept in a sealed bag in the sun for a bit too long!
38,20180620,A,50mL,NA,nothing,-2.308,measurements from 12.30 to 14.30
39,20180517,A,DRY,-0.59,nothing,-0.8,nothing
42,20180522,A,DRY,-0.222,nothing,NA,NA
42,20180524,A,DRY,-0.486,nothing,-1.604,some leaves were kept in a sealed bag in the sun for a bit too long!
43,20180517,A,DRY,-0.42,nothing,-1.19,nothing
44,20180607,A,DRY,-1.538,nothing,NA,NA
44,20180613,A,DRY,-3.17,nothing,-3.597,nothing
